#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,-58898.590087890625,11837.37109375,242.2715049706462,0
1000,-55691.230712890625,15499.43359375,317.2217102269472,391
1500,-54540.854736328125,16700.962890625,341.81300745965154,406
2000,-54439.75634765625,16835.685546875,344.5703308910817,410
2500,-53896.42578125,17123.44140625,350.45973357709795,412
3000,-53988.46826171875,17324.1015625,354.56657771143455,414
3500,-54564.700439453125,17329.712890625,354.68142288262675,415
4000,-54330.76806640625,17624.61328125,360.7170502940943,415
4500,-54228.26171875,17356.15625,355.2226302521958,416
5000,-54443.470703125,17508.6484375,358.3436367213938,416
5500,-54444.157958984375,17508.470703125,358.33999909153704,416
6000,-54362.80810546875,17164.08203125,351.2915116217093,416
6500,-55031.118896484375,17509.23828125,358.3557088556438,417
7000,-54929.226318359375,17032.771484375,348.6040226887382,417
7500,-54599.326171875,17226.5859375,352.5707581126575,417
8000,-55234.456787109375,17699.646484375,362.25272970296743,417
8500,-54964.227294921875,17505.2734375,358.2745617280697,417
9000,-54771.60302734375,17327.53125,354.63677197548384,418
9500,-55082.00146484375,17663.796875,361.519007768671,418
10000,-55222.084228515625,16815.8828125,344.1650349667106,418
10500,-55654.66748046875,17345.49609375,355.00445240869874,418
11000,-55355.645751953125,17779.724609375,363.8916618362365,418
11500,-55276.9853515625,17408.912109375,356.3023667363844,418
12000,-55457.423828125,17248.65625,353.02246379816825,418
12500,-55832.500732421875,17702.697265625,362.3151690198495,418
13000,-55606.08984375,17382.5625,355.7630781166299,418
13500,-54904.025634765625,17292.033203125,353.910245352992,418
14000,-54966.00109863281,16876.03125,345.396072868568,418
14500,-55216.123046875,17031.962890625,348.58747347158766,418
15000,-55203.33935546875,17336.58203125,354.82201128049775,418
15500,-55540.669921875,17368.6171875,355.4776640817143,418
16000,-55076.749267578125,17318.119140625,354.44413748889303,418
16500,-55581.16638183594,17109.87109375,350.18199454144053,418
17000,-55169.835205078125,17530.03125,358.7812715749311,418
17500,-55057.98876953125,16954.25390625,346.99702974509063,418
18000,-54935.95166015625,17414.564453125,356.4180513606205,418
18500,-55444.805419921875,17694.8125,362.1537941656542,418
19000,-55445.626708984375,17511.849609375,358.4091540327701,418
19500,-55255.424072265625,17183.814453125,351.69536848371945,418
20000,-55288.38916015625,17023.0390625,348.4048324736143,418
20500,-55661.12353515625,17594.05078125,360.09153785454805,418
21000,-55578.212646484375,17524.7890625,358.6739814811337,418
21500,-55496.707275390625,17157.81640625,351.16327517576957,418
22000,-55981.51806640625,17422.78125,356.5862217870757,418
22500,-55660.54541015625,17197.587890625,351.9772648106417,419
23000,-56526.43798828125,17514.125,358.4557236897276,419
23500,-55964.5205078125,16883.2890625,345.54461608337846,419
24000,-56068.670654296875,17478.49609375,357.7265188122863,419
24500,-55592.621826171875,17017.74609375,348.2965030570007,419
